Equipment_ID,Date,Maintenance_Type,Issue_Description,Target
Equipment_3,2023-05-10,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2022-11-07,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2022-11-17,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-07-17,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2022-12-05,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-05-01,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-03-30,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-02-03,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-05-05,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2022-10-20,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-09-05,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_2,2022-10-28,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-09-16,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-02-03,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-04-18,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-04-08,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-04-18,Corrective Maintenance,Wear and Tear,Failure
Equipment_2,2023-06-20,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-08-29,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-09-05,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2022-12-19,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-03-30,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-06-28,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2023-04-11,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-03-27,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-07-22,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-02-09,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-10-06,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-08-26,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2022-12-23,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-03-24,Corrective Maintenance,Normal Maintenance,Failure
Equipment_2,2022-11-11,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-03-21,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-03-06,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-09-26,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-04-13,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-04-24,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-05-06,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2023-02-14,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-03-28,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-06-18,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-08-15,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-05-09,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-01-08,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-01-25,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-09-08,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2022-11-24,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-04-04,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2022-11-11,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-05-11,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-10-01,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-08-26,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-06-17,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-04-21,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2022-11-28,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2022-12-07,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-08-03,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2022-11-21,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2022-11-03,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_2,2022-12-20,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-02-11,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-06-10,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-04-10,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2023-07-07,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-04-13,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-07-24,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-09-24,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2022-12-19,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-01-27,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-01-16,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-02-21,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-04-07,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-08-14,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-01-01,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-01-01,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-07-08,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2023-05-08,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-03-02,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-05-15,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-04-14,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2022-10-27,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-05-22,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-05-28,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2023-01-23,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-03-13,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-08-09,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-07-06,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2022-12-05,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2023-08-10,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-04-08,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-08-26,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-05-16,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-03-21,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_2,2023-06-30,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-05-14,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2022-12-28,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-06-20,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-10-12,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2022-12-21,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-05-15,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-01-26,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2023-03-15,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-04-14,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2022-11-20,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-03-02,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-02-25,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-03-08,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-08-03,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2022-12-28,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2023-09-21,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-04-20,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2022-12-03,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-02-13,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-01-02,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2022-11-07,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-01-11,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2022-12-03,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_2,2023-05-08,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-02-26,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-03-28,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-09-05,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-05-27,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2022-11-28,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2022-11-29,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-07-16,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-01-16,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-01-12,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-12-17,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-06-09,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-10-10,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-05-24,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-05-29,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-04-11,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-04-24,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-05-01,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-01-08,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-01-13,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-01-13,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-07-27,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2022-11-15,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-05-07,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-07-08,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-07-16,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-06-01,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-02-16,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-06-25,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-01-03,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-03-31,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-09-07,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-06-30,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2022-12-27,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-09-03,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-03-12,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-02-08,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-09-06,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2022-12-16,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-06-12,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2022-11-11,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-06-19,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_2,2023-01-03,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-04-25,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-05-14,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2023-03-28,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-04-12,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-08-04,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2022-12-21,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-02-13,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-21,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2022-12-25,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-05-25,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-05-11,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-01-17,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-09-15,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2022-11-04,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2022-12-02,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-09-11,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-03-27,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2022-11-29,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-08-15,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-05-09,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2022-11-02,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-03-22,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-07-17,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-01-24,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-05-23,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2022-12-16,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-08-03,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-03-30,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-04-04,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2022-11-30,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2022-12-18,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-03-09,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-01-28,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2023-04-08,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-05-29,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-09-16,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_3,2023-04-30,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-07-26,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2022-11-09,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2022-11-13,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-04-21,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-01-02,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2023-08-28,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-01-08,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2023-06-24,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-01-31,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_1,2023-10-06,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2022-11-14,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-08-25,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-02-22,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-02-21,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-02-12,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-03-26,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2022-12-22,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-05-17,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-07-01,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-03-12,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-01-30,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-06-13,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-01-22,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2022-12-20,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2022-11-19,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-03-08,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-04-17,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2022-11-17,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-10-16,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2022-11-25,Corrective Maintenance,Wear and Tear,Failure
Equipment_2,2022-12-08,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2023-02-13,Corrective Maintenance,Wear and Tear,Failure
Equipment_2,2023-04-01,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-04-01,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-01-07,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2022-11-19,Corrective Maintenance,Normal Maintenance,Failure
Equipment_2,2023-09-09,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-07-01,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-09-04,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2023-01-10,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-08-13,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2022-11-10,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2022-10-26,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-01-02,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2022-11-30,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-05-12,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-04-15,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2022-12-16,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-06-06,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2022-10-21,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-05-19,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-04-10,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-08-05,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-02-28,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2022-11-10,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-06-29,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2022-10-26,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-01-23,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-04-13,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2022-11-22,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-03-16,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_1,2022-10-20,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-08-09,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-03-12,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-05-17,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_2,2023-09-10,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-07-29,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2022-12-27,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-05-06,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2022-10-24,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-09-05,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_2,2023-07-02,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-02-06,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2022-10-29,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_2,2023-05-12,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-08-19,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2022-11-25,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-09-13,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-02-10,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-09-19,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2022-10-30,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-10-18,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-10-03,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-02-11,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2022-12-17,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-06-01,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2022-12-10,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2022-12-23,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-09-17,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-06-04,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-09-26,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2022-12-21,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-03-30,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2022-11-02,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2022-12-22,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-08-24,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-05-05,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-07-19,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2022-11-19,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-07-19,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-03-03,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-09-04,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-09-23,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-04-09,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-10-04,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2022-11-05,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2022-12-31,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-02-17,Preventive Maintenance,Wear and Tear,Failure
